year	mean	std	upper_bound	lower_bound
2005	0.91338626	1.12336E-16	0.91338626	0.91338626
2010	0.988853336	0.000372749	0.989598835	0.988107837
2020	1.243261435	0.013254985	1.269771406	1.216751464
2030	1.522512733	0.031950761	1.586414254	1.458611211
2040	1.810249684	0.051764391	1.913778466	1.706720901
2050	2.072807793	0.084620225	2.242048243	1.903567343
2060	2.29649824	0.126812745	2.55012373	2.042872749
2070	2.486878342	0.172066768	2.831011879	2.142744805
2080	2.651694751	0.221615438	3.094925627	2.208463876
2090	2.789209851	0.273158708	3.335527266	2.242892436
2100	2.895315958	0.323807829	3.542931617	2.2477003
