Period;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
mu_dice;0.03;0.19;0.21;0.24;0.27;0.3;0.33;0.36;0.4;0.44;0.48;0.52;0.57;0.62;0.67;0.72;0.78;0.84;0.9;0.97;1;1;1;1;1;1;1;1;1;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
 ac_dice;0;0.001;0.001;0.001;0.002;0.002;0.002;0.003;0.003;0.004;0.004;0.005;0.005;0.006;0.007;0.007;0.008;0.009;0.01;0.011;0.01;0.01;0.009;0.008;0.007;0.007;0.006;0.005;0.005;0.007;0.007;0.006;0.006;0.005;0.005;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 mat_dice;851;891.33;925.03;959.77;995.22;1031.02;1066.77;1102.05;1136.44;1169.51;1200.83;1229.99;1256.59;1280.22;1300.51;1317.1;1329.65;1337.83;1341.34;1339.9;1333.22;1325.45;1319.61;1315.07;1311.43;1308.39;1305.76;1303.4;1301.24;1299.21;1275.33;1254.36;1235.43;1217.98;1201.62;1186.07;1171.16;1156.77;1142.83;1129.28;1116.08;1103.22;1090.67;1078.43;1066.49;1054.84;1043.49;1032.42;1021.63;1011.13;1000.91;990.96;981.28;971.88;962.74;953.86;945.24;936.87;928.75;920.87;913.23;905.83;898.65;891.7;884.97;878.45;872.14;866.03;860.12;854.41;848.88;843.53;838.36;833.36;828.53;823.86;819.35;814.99;810.77;806.71;802.78;798.98;795.31;791.77;788.36;785.06;781.87;778.79;775.83;772.96;770.2;767.54;764.95;762.44;760.01;757.66;755.39;753.19;751.07;755.28
 mup_dice;460;471.29;485.13;500.2;516.39;533.54;551.51;570.12;589.19;608.52;627.9;647.1;665.91;684.09;701.42;717.67;732.62;746.04;757.72;767.46;775.05;780.3;783.56;785.46;786.43;786.77;786.69;786.31;785.72;785.01;784.19;780.68;775.37;768.88;761.61;753.85;745.81;737.62;729.37;721.12;712.92;704.81;696.8;688.92;681.17;673.57;666.11;658.81;651.66;644.68;637.85;631.19;624.69;618.35;612.17;606.15;600.28;594.58;589.03;583.64;578.4;573.3;568.36;563.56;558.9;554.38;550;545.75;541.63;537.64;533.78;530.04;526.42;522.91;519.52;516.24;513.06;509.99;507.02;504.15;501.37;498.69;496.1;493.59;491.17;488.84;486.58;484.4;482.29;480.26;478.29;476.4;474.57;472.8;471.09;469.44;467.84;466.29;464.8;463.35
 mlo_dice;1740;1740.67;1741.42;1742.26;1743.21;1744.27;1745.45;1746.76;1748.19;1749.75;1751.45;1753.28;1755.24;1757.33;1759.54;1761.87;1764.31;1766.86;1769.49;1772.2;1774.98;1777.8;1780.66;1783.54;1786.42;1789.31;1792.2;1795.08;1797.95;1800.82;1803.67;1806.52;1809.34;1812.12;1814.84;1817.51;1820.13;1822.68;1825.18;1827.61;1829.98;1832.29;1834.54;1836.73;1838.86;1840.93;1842.95;1844.91;1846.82;1848.68;1850.48;1852.23;1853.94;1855.6;1857.2;1858.77;1860.29;1861.77;1863.2;1864.59;1865.95;1867.26;1868.54;1869.78;1870.99;1872.16;1873.29;1874.4;1875.47;1876.52;1877.53;1878.52;1879.48;1880.41;1881.31;1882.19;1883.05;1883.88;1884.69;1885.48;1886.24;1886.99;1887.72;1888.42;1889.11;1889.78;1890.44;1891.07;1891.69;1892.3;1892.89;1893.46;1894.02;1894.57;1895.1;1895.62;1896.13;1896.63;1897.11;1897.59
 tat_dice;0.85;1.02;1.18;1.35;1.52;1.69;1.86;2.03;2.2;2.36;2.53;2.68;2.83;2.98;3.12;3.25;3.37;3.48;3.58;3.67;3.75;3.81;3.86;3.91;3.95;3.98;4.01;4.03;4.05;4.07;4.08;4.07;4.06;4.05;4.03;4;3.97;3.94;3.91;3.88;3.84;3.81;3.77;3.73;3.69;3.65;3.61;3.57;3.53;3.49;3.45;3.41;3.37;3.33;3.29;3.25;3.21;3.17;3.13;3.09;3.06;3.02;2.98;2.95;2.91;2.88;2.84;2.81;2.78;2.75;2.71;2.68;2.65;2.62;2.6;2.57;2.54;2.51;2.49;2.46;2.44;2.41;2.39;2.37;2.34;2.32;2.3;2.28;2.26;2.24;2.22;2.2;2.18;2.16;2.15;2.13;2.11;2.1;2.08;2.07
 forc_dice;2.46;2.74;2.97;3.19;3.41;3.63;3.84;4.04;4.24;4.42;4.59;4.74;4.89;5.02;5.13;5.22;5.3;5.37;5.38;5.37;5.35;5.32;5.29;5.28;5.26;5.25;5.24;5.23;5.22;5.21;5.11;5.02;4.94;4.87;4.8;4.73;4.66;4.59;4.53;4.47;4.4;4.34;4.28;4.22;4.16;4.1;4.05;3.99;3.93;3.88;3.83;3.77;3.72;3.67;3.62;3.57;3.52;3.47;3.43;3.38;3.34;3.3;3.25;3.21;3.17;3.13;3.09;3.06;3.02;2.99;2.95;2.92;2.88;2.85;2.82;2.79;2.76;2.73;2.71;2.68;2.65;2.63;2.6;2.58;2.56;2.54;2.51;2.49;2.47;2.45;2.43;2.42;2.4;2.38;2.36;2.35;2.33;2.32;2.3;2.33
 tlo_dice;0.01;0.03;0.05;0.08;0.11;0.15;0.19;0.23;0.27;0.32;0.37;0.43;0.48;0.54;0.6;0.67;0.73;0.8;0.86;0.93;1;1.07;1.14;1.21;1.27;1.34;1.41;1.47;1.54;1.6;1.66;1.72;1.78;1.84;1.89;1.95;2;2.05;2.09;2.14;2.18;2.22;2.26;2.3;2.34;2.37;2.4;2.43;2.46;2.49;2.51;2.54;2.56;2.58;2.6;2.61;2.63;2.64;2.66;2.67;2.68;2.69;2.7;2.7;2.71;2.72;2.72;2.72;2.73;2.73;2.73;2.73;2.73;2.72;2.72;2.72;2.71;2.71;2.71;2.7;2.69;2.69;2.68;2.67;2.67;2.66;2.65;2.64;2.63;2.62;2.61;2.6;2.59;2.58;2.57;2.56;2.55;2.54;2.53;2.52
 e_dice;38.34;35.4;37.14;38.56;39.6;40.25;40.47;40.25;39.56;38.42;36.8;34.73;32.19;29.21;25.79;21.95;17.71;13.07;8.07;2.7;0.23;0.2;0.18;0.16;0.14;0.12;0.11;0.1;0.09;-16.01;-15.86;-15.7;-15.52;-15.33;-15.13;-14.91;-14.68;-14.45;-14.2;-13.95;-13.69;-13.42;-13.15;-12.87;-12.6;-12.31;-12.03;-11.75;-11.46;-11.18;-10.89;-10.61;-10.33;-10.05;-9.78;-9.51;-9.24;-8.97;-8.71;-8.45;-8.2;-7.95;-7.71;-7.47;-7.23;-7.01;-6.78;-6.56;-6.35;-6.14;-5.94;-5.74;-5.55;-5.37;-5.19;-5.01;-4.84;-4.67;-4.51;-4.35;-4.2;-4.06;-3.91;-3.78;-3.64;-3.51;-3.39;-3.27;-3.15;-3.03;-2.92;-2.83;-2.74;-2.65;-2.56;-2.47;-2.38;-2.29;2.37;10.67
 eind_dice;35.74;33.1;35.11;36.76;38.01;38.84;39.22;39.14;38.58;37.55;36.04;34.05;31.59;28.68;25.32;21.53;17.34;12.75;7.78;2.45;0;0;0;0;0;0;0;0;0;-16.09;-15.93;-15.76;-15.57;-15.38;-15.17;-14.95;-14.72;-14.48;-14.23;-13.97;-13.71;-13.44;-13.16;-12.89;-12.61;-12.32;-12.04;-11.76;-11.47;-11.18;-10.9;-10.62;-10.34;-10.06;-9.78;-9.51;-9.24;-8.97;-8.71;-8.45;-8.2;-7.95;-7.71;-7.47;-7.24;-7.01;-6.78;-6.57;-6.35;-6.14;-5.94;-5.75;-5.55;-5.37;-5.19;-5.01;-4.84;-4.67;-4.51;-4.35;-4.2;-4.06;-3.91;-3.78;-3.64;-3.51;-3.39;-3.27;-3.15;-3.03;-2.92;-2.83;-2.74;-2.65;-2.56;-2.47;-2.38;-2.29;2.37;10.67
